ID	Delay	Delay2	Latency	Latency2	Success_Ratio	Energy	Hops	txPackets	rxPackets	ShortestPath	LongestPath	Orchestrators	Neighbors	Paths	Distance	DevFast	DevMedium	DevSlow	LoadSmall	LoadMedium	LoadBig
490	45.296	47.564	0.988856	3.2568	100	0.728599	20	7	7	1	5	4	18	24	817	2	2	5	0	3	6
954	42.9752	44.0766	0.86804	1.96949	100	0.728418	16	6	6	1	4	4	20	24	791	0	2	7	0	6	3
785	46.6375	49.8265	2.58748	5.77646	92.3077	0.728212	26	10	9	1	7	3	19	43	1335	0	4	4	2	0	6
650	43.6979	44.7339	1.21829	2.25429	78.5714	0.728079	19	10	7	2	7	4	19	24	1261	2	3	4	0	0	9
44	58.0466	59.6658	2.9924	4.6116	62.5	0.728021	28	13	7	2	12	3	19	43	998	0	1	7	0	2	6
814	55.2768	58.2175	0.963079	3.90375	92.3077	0.727832	19	9	8	1	4	4	19	24	1244	0	2	7	0	0	9
583	55.9062	57.9478	1.59241	3.63405	100	0.727765	15	8	8	1	3	4	19	24	858	0	2	7	0	0	9
52	43.8149	46.2193	0.977089	3.38146	100	0.727513	12	6	6	1	3	5	19	5	1077	0	2	8	0	2	8
165	64.1882	66.6764	2.37385	4.86198	76.9231	0.727497	35	10	7	2	18	3	19	43	1076	2	3	3	0	0	8
336	42.644	45.0892	3.43686	5.88203	91.6667	0.727385	26	7	6	3	8	4	19	24	1331	2	2	5	0	3	6
470	51.6436	55.8465	0.807355	5.01025	87.5	0.727356	18	12	10	1	5	4	19	24	893	0	0	9	0	4	5
334	67.3583	69.3884	1.01077	3.04083	78.5714	0.727192	30	11	8	2	9	3	18	43	1020	0	1	7	0	2	6
328	51.8314	52.8956	0.5936	1.65783	81.8182	0.726485	8	6	4	1	3	5	18	5	1101	0	0	10	0	0	10
360	61.8643	64.4936	1.27608	3.9053	82.3529	0.726357	28	14	11	1	14	3	19	43	967	0	4	4	0	2	6
218	59.332	66.8599	2.0176	9.5455	92.8571	0.726336	40	11	10	1	14	3	18	43	1207	0	2	6	0	2	6
742	54.7591	59.1278	2.67952	7.04823	100	0.726048	26	6	6	2	8	4	18	24	1245	2	0	7	0	0	9
338	68.4728	71.4123	1.11435	4.05387	92.8571	0.725639	32	11	10	1	7	3	18	43	1280	0	2	6	0	2	6
569	45.7113	48.6061	1.67356	4.56831	100	0.725575	14	5	5	2	3	5	18	5	1081	2	0	8	0	2	8
177	52.5252	54.3555	1.61805	3.44834	81.8182	0.725255	20	7	5	3	6	4	19	24	1105	0	0	9	0	3	6
244	44.1524	44.8432	0.414566	1.10542	90.9091	0.725167	9	6	5	1	3	5	18	5	1025	0	0	10	0	4	6
12	81.4375	88.3037	1.98467	8.85089	91.6667	0.724741	40	10	9	1	8	2	18	62	1411	0	2	5	0	1	6
479	55.5111	57.4812	1.19734	3.1674	100	0.724587	21	8	8	1	7	4	19	24	1062	0	2	7	0	0	9
597	40.9183	41.3395	0.780474	1.20166	90	0.724354	9	5	4	1	4	5	18	5	1290	2	2	6	0	2	8
964	44.126	46.1754	1.64642	3.69587	78.5714	0.724274	21	10	7	2	7	4	19	24	959	2	3	4	0	0	9
869	54.1648	55.4303	3.2576	4.52309	90.9091	0.723633	20	7	6	1	7	4	18	24	882	0	2	7	0	2	7
848	40.2071	41.7168	0.969262	2.47906	90	0.723493	15	5	4	1	7	5	19	5	954	2	2	6	0	2	8
71	51.0036	52.962	1.10926	3.06766	90.9091	0.723292	17	7	6	1	5	4	19	24	1354	0	2	7	0	2	7
980	48.123	50.1085	1.11581	3.10131	91.6667	0.723237	19	8	7	1	5	4	18	24	961	0	2	7	0	2	7
